2015-12-17 16:57:09 startup archives install
2015-12-17 16:57:10 install base-passwd:armhf <none> 3.5.37
2015-12-17 16:57:10 status half-installed base-passwd:armhf 3.5.37
2015-12-17 16:57:10 status unpacked base-passwd:armhf 3.5.37
2015-12-17 16:57:10 status unpacked base-passwd:armhf 3.5.37
2015-12-17 16:57:10 configure base-passwd:armhf 3.5.37 3.5.37
2015-12-17 16:57:10 status unpacked base-passwd:armhf 3.5.37
2015-12-17 16:57:10 status half-configured base-passwd:armhf 3.5.37
2015-12-17 16:57:11 status installed base-passwd:armhf 3.5.37
2015-12-17 16:57:11 startup archives install
2015-12-17 16:57:11 install base-files:armhf <none> 1:2.0
2015-12-17 16:57:11 status half-installed base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 configure base-files:armhf 1:2.0 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:11 status half-configured base-files:armhf 1:2.0
2015-12-17 16:57:13 status installed base-files:armhf 1:2.0
2015-12-17 16:57:13 startup archives install
2015-12-17 16:57:13 upgrade dpkg 1.17.25 1.17.25
2015-12-17 16:57:13 status half-configured dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status half-installed dpkg 1.17.25
2015-12-17 16:57:13 status half-installed dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 configure dpkg 1.17.25 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status unpacked dpkg 1.17.25
2015-12-17 16:57:13 status half-configured dpkg 1.17.25
2015-12-17 16:57:13 status installed dpkg 1.17.25
2015-12-17 16:57:13 startup archives install
2015-12-17 16:57:14 install libc6:armhf <none> 2.19-18
2015-12-17 16:57:14 status half-installed libc6:armhf 2.19-18
2015-12-17 16:57:14 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:14 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:14 configure libc6:armhf 2.19-18 2.19-18
2015-12-17 16:57:14 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:14 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:14 status half-configured libc6:armhf 2.19-18
2015-12-17 16:57:15 status installed libc6:armhf 2.19-18
2015-12-17 16:57:16 startup archives install
2015-12-17 16:57:16 install perl-base:armhf <none> 5.20.2-3+deb8u1
2015-12-17 16:57:16 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 configure perl-base:armhf 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-12-17 16:57:17 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 status half-configured perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 status installed perl-base:armhf 5.20.2-3+deb8u1
2015-12-17 16:57:17 startup archives install
2015-12-17 16:57:17 install mawk:armhf <none> 1.3.3-17
2015-12-17 16:57:17 status half-installed mawk:armhf 1.3.3-17
2015-12-17 16:57:17 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:17 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:18 configure mawk:armhf 1.3.3-17 1.3.3-17
2015-12-17 16:57:18 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:18 status half-configured mawk:armhf 1.3.3-17
2015-12-17 16:57:18 status installed mawk:armhf 1.3.3-17
2015-12-17 16:57:18 startup archives install
2015-12-17 16:57:18 install debconf:all <none> 1.5.56
2015-12-17 16:57:18 status half-installed debconf:all 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 configure debconf:all 1.5.56 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 status unpacked debconf:all 1.5.56
2015-12-17 16:57:18 status half-configured debconf:all 1.5.56
2015-12-17 16:57:20 status installed debconf:all 1.5.56
2015-12-17 16:57:20 startup archives unpack
2015-12-17 16:57:20 install acl:armhf <none> 2.2.52-2
2015-12-17 16:57:20 status half-installed acl:armhf 2.2.52-2
2015-12-17 16:57:21 status unpacked acl:armhf 2.2.52-2
2015-12-17 16:57:21 status unpacked acl:armhf 2.2.52-2
2015-12-17 16:57:21 install adduser:all <none> 3.113+nmu3
2015-12-17 16:57:21 status half-installed adduser:all 3.113+nmu3
2015-12-17 16:57:21 status unpacked adduser:all 3.113+nmu3
2015-12-17 16:57:21 status unpacked adduser:all 3.113+nmu3
2015-12-17 16:57:21 upgrade base-files:armhf 1:2.0 1:2.0
2015-12-17 16:57:21 status half-configured base-files:armhf 1:2.0
2015-12-17 16:57:21 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:21 status half-installed base-files:armhf 1:2.0
2015-12-17 16:57:21 status half-installed base-files:armhf 1:2.0
2015-12-17 16:57:21 status unpacked base-files:armhf 1:2.0
2015-12-17 16:57:21 status unpacked base-files:armhf 1:2.0
